"BygnType","BruksAreal","Tid","value"
"01",">30","2022",9022
"01","30-39","2022",10116
"01","40-49","2022",18253
"01","50-59","2022",26073
"01","60-79","2022",57445
"01","80-99","2022",71190
"01","100-119","2022",105464
"01","120-139","2022",123402
"01","140-159","2022",145735
"01","160-199","2022",302559
"01","200-249","2022",228907
"01","250-299","2022",97846
"01","300-349","2022",35471
"01","300+","2022",21674
"02",">30","2022",1655
"02","30-39","2022",1374
"02","40-49","2022",3165
"02","50-59","2022",6612
"02","60-79","2022",30075
"02","80-99","2022",33137
"02","100-119","2022",41987
"02","120-139","2022",39178
"02","140-159","2022",25643
"02","160-199","2022",28396
"02","200-249","2022",12018
"02","250-299","2022",3377
"02","300-349","2022",1201
"02","300+","2022",906
"03",">30","2022",3246
"03","30-39","2022",4481
"03","40-49","2022",9863
"03","50-59","2022",20337
"03","60-79","2022",66548
"03","80-99","2022",53017
"03","100-119","2022",58681
"03","120-139","2022",48859
"03","140-159","2022",25844
"03","160-199","2022",19229
"03","200-249","2022",5101
"03","250-299","2022",943
"03","300-349","2022",275
"03","300+","2022",232
"04",">30","2022",26889
"04","30-39","2022",41148
"04","40-49","2022",69980
"04","50-59","2022",93714
"04","60-79","2022",217718
"04","80-99","2022",133346
"04","100-119","2022",53242
"04","120-139","2022",19523
"04","140-159","2022",7260
"04","160-199","2022",4188
"04","200-249","2022",1261
"04","250-299","2022",285
"04","300-349","2022",138
"04","300+","2022",149
"05",">30","2022",35187
"05","30-39","2022",6613
"05","40-49","2022",7315
"05","50-59","2022",8115
"05","60-79","2022",7147
"05","80-99","2022",1358
"05","100-119","2022",415
"05","120-139","2022",144
"05","140-159","2022",201
"05","160-199","2022",166
"05","200-249","2022",98
"05","250-299","2022",69
"05","300-349","2022",39
"05","300+","2022",86
"999",">30","2022",6599
"999","30-39","2022",5810
"999","40-49","2022",8156
"999","50-59","2022",9151
"999","60-79","2022",13935
"999","80-99","2022",9440
"999","100-119","2022",4988
"999","120-139","2022",2924
"999","140-159","2022",1695
"999","160-199","2022",1933
"999","200-249","2022",1178
"999","250-299","2022",502
"999","300-349","2022",324
"999","300+","2022",652
